,Unnamed: 0,path,mask_state,age,gender,class,pred,folder
0,0,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000001_female_Asian_45/mask1.jpg,Wear,45,female,4,3,000001_female_Asian_45
1,1,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000001_female_Asian_45/normal.jpg,Not Wear,45,female,16,15,000001_female_Asian_45
2,2,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000001_female_Asian_45/incorrect_mask.jpg,Incorrect,45,female,10,9,000001_female_Asian_45
3,3,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000001_female_Asian_45/mask2.jpg,Wear,45,female,4,3,000001_female_Asian_45
4,4,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000001_female_Asian_45/mask4.jpg,Wear,45,female,4,3,000001_female_Asian_45
5,5,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000001_female_Asian_45/mask5.jpg,Wear,45,female,4,3,000001_female_Asian_45
6,6,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000001_female_Asian_45/mask3.jpg,Wear,45,female,4,3,000001_female_Asian_45
7,7,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000002_female_Asian_52/mask1.jpg,Wear,52,female,4,0,000002_female_Asian_52
8,8,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000002_female_Asian_52/normal.jpg,Not Wear,52,female,16,12,000002_female_Asian_52
9,9,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000002_female_Asian_52/incorrect_mask.jpg,Incorrect,52,female,10,6,000002_female_Asian_52
11,11,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000002_female_Asian_52/mask4.jpg,Wear,52,female,4,0,000002_female_Asian_52
12,12,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000002_female_Asian_52/mask5.jpg,Wear,52,female,4,0,000002_female_Asian_52
14,14,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000004_male_Asian_54/mask1.jpg,Wear,54,male,1,0,000004_male_Asian_54
15,15,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000004_male_Asian_54/normal.jpg,Not Wear,54,male,13,12,000004_male_Asian_54
16,16,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000004_male_Asian_54/incorrect_mask.jpg,Incorrect,54,male,7,6,000004_male_Asian_54
17,17,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000004_male_Asian_54/mask2.jpg,Wear,54,male,1,0,000004_male_Asian_54
18,18,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000004_male_Asian_54/mask4.jpg,Wear,54,male,1,0,000004_male_Asian_54
19,19,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000004_male_Asian_54/mask5.jpg,Wear,54,male,1,0,000004_male_Asian_54
36,36,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000007_female_Asian_58/normal.jpg,Not Wear,58,female,16,15,000007_female_Asian_58
37,37,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000007_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,4,000007_female_Asian_58
38,38,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000007_female_Asian_58/mask2.jpg,Wear,58,female,4,0,000007_female_Asian_58
41,41,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000007_female_Asian_58/mask3.jpg,Wear,58,female,4,3,000007_female_Asian_58
42,42,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000008_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000008_female_Asian_58
49,49,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000009_female_Asian_56/mask1.jpg,Wear,56,female,4,3,000009_female_Asian_56
51,51,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000009_female_Asian_56/incorrect_mask.jpg,Incorrect,56,female,10,9,000009_female_Asian_56
52,52,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000009_female_Asian_56/mask2.jpg,Wear,56,female,4,3,000009_female_Asian_56
53,53,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000009_female_Asian_56/mask4.jpg,Wear,56,female,4,3,000009_female_Asian_56
56,56,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000010_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000010_female_Asian_58
61,61,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000010_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000010_female_Asian_58
70,70,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000014_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000014_female_Asian_58
71,71,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000014_female_Asian_58/normal.jpg,Not Wear,58,female,16,15,000014_female_Asian_58
72,72,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000014_female_Asian_58/incorrect_mask.jpg,Incorrect,58,female,10,9,000014_female_Asian_58
75,75,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000014_female_Asian_58/mask5.jpg,Wear,58,female,4,3,000014_female_Asian_58
84,84,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/000016_female_Asian_58/mask1.jpg,Wear,58,female,4,3,000016_female_Asian_58
